iter	Passed	Remaining
643	1842	1018
644	1846	1016
645	1849	1013
646	1852	1010
647	1854	1007
648	1857	1004
649	1860	1001
650	1863	999
651	1866	996
652	1870	993
653	1872	990
654	1875	987
655	1879	985
656	1881	982
657	1884	979
658	1888	976
659	1890	974
660	1893	971
661	1896	968
662	1899	965
663	1903	963
664	1906	960
665	1909	957
666	1912	954
667	1915	951
668	1917	948
669	1920	945
670	1923	943
671	1927	941
672	1931	938
673	1934	935
674	1937	932
675	1940	930
676	1944	927
677	1947	924
678	1950	921
679	1953	919
680	1956	916
681	1960	914
682	1963	911
683	1966	908
684	1969	905
685	1972	902
686	1975	900
687	1978	897
688	1981	894
689	1984	891
690	1987	888
691	1990	885
692	1994	883
693	1997	880
694	2000	877
695	2003	875
696	2006	872
697	2010	869
698	2013	866
699	2016	864
700	2019	861
701	2022	858
702	2025	855
703	2028	853
704	2032	850
705	2035	847
706	2037	844
707	2041	841
708	2044	839
709	2047	836
710	2051	833
711	2054	830
712	2058	828
713	2061	825
714	2064	822
715	2066	819
716	2069	817
717	2072	814
718	2075	811
719	2078	808
720	2081	805
721	2083	802
722	2086	799
723	2090	796
724	2093	794
725	2096	791
726	2099	788
727	2102	785
728	2106	783
729	2110	780
730	2113	777
731	2116	774
732	2119	771
733	2123	769
734	2126	766
735	2129	763
736	2132	760
737	2135	758
738	2138	755
739	2141	752
740	2145	749
741	2148	747
742	2151	744
743	2155	741
744	2158	738
745	2161	736
746	2164	733
747	2167	730
748	2171	727
749	2174	724
750	2177	721
751	2180	719
752	2183	716
753	2186	713
754	2189	710
755	2192	707
756	2195	704
757	2198	701
758	2201	699
759	2204	696
760	2207	693
761	2210	690
762	2213	687
763	2216	684
764	2219	681
765	2222	678
766	2225	676
767	2227	673
768	2230	670
769	2234	667
770	2237	664
771	2241	661
772	2244	659
773	2247	656
774	2250	653
775	2254	650
776	2257	647
777	2261	645
778	2264	642
779	2266	639
780	2270	636
781	2273	633
782	2277	631
783	2280	628
784	2283	625
785	2286	622
786	2289	619
787	2292	616
788	2295	613
789	2298	611
790	2301	608
791	2305	605
792	2308	602
793	2312	599
794	2315	597
795	2319	594
796	2322	591
797	2325	588
798	2328	585
799	2331	582
800	2334	580
801	2337	577
802	2340	574
803	2343	571
804	2346	568
805	2350	565
806	2353	562
807	2356	559
808	2359	557
809	2362	554
810	2366	551
811	2369	548
812	2372	545
813	2375	542
814	2378	539
815	2380	536
816	2383	533
817	2386	531
818	2390	528
819	2393	525
820	2396	522
821	2399	519
822	2402	516
823	2404	513
824	2407	510
825	2410	507
826	2413	504
827	2417	502
828	2421	499
829	2424	496
830	2427	493
831	2430	490
832	2433	487
833	2437	485
834	2440	482
835	2444	479
836	2447	476
837	2450	473
838	2453	470
839	2457	468
840	2460	465
841	2464	462
842	2467	459
843	2471	456
844	2474	453
845	2476	450
846	2479	447
847	2482	445
848	2486	442
849	2489	439
850	2493	436
851	2496	433
852	2499	430
853	2502	427
854	2505	424
855	2508	422
856	2512	419
857	2515	416
858	2518	413
859	2521	410
860	2524	407
861	2527	404
862	2531	401
863	2534	398
864	2538	396
865	2541	393
866	2544	390
867	2547	387
868	2550	384
869	2553	381
870	2556	378
871	2559	375
872	2563	372
873	2566	369
874	2569	367
875	2572	364
876	2576	361
877	2579	358
878	2582	355
879	2585	352
880	2588	349
881	2591	346
882	2594	343
883	2597	340
884	2600	337
885	2604	335
886	2607	332
887	2611	329
888	2614	326
889	2617	323
890	2621	320
891	2623	317
892	2627	314
893	2630	311
894	2633	308
895	2637	306
896	2640	303
897	2643	300
